type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score,Reproducibility
indels,1709,2569,1645,924,64,0.9625511995318901,0.6403269754768393,BGI_T20_WGS_2023_3_T.sorted.deduped.recaled.filter.norm.SNV_HC,0.7690509583917718,0.8014390875043647
SNVs,31512,31456,31111,345,401,0.9872746890073624,0.9890322990844354,BGI_T20_WGS_2023_3_T.sorted.deduped.recaled.filter.norm.SNV_HC,0.9881527124888831,0.9881534940458988
records,33221,34427,32756,1671,465,0.9860028295355348,0.9514625148865716,BGI_T20_WGS_2023_3_T.sorted.deduped.recaled.filter.norm.SNV_HC,0.9684247871333964,0.9687326722110532
indels,1709,2545,1644,901,65,0.9619660620245758,0.6459724950884086,BGI_T20_WGS_2023_1_T.sorted.deduped.recaled.filter.SNV_HC,0.772919605077574,0.8039692785564923
SNVs,31512,31437,31117,320,395,0.9874650926631124,0.9898209116645992,BGI_T20_WGS_2023_1_T.sorted.deduped.recaled.filter.SNV_HC,0.9886415987545474,0.9886430021638557
records,33221,34384,32761,1623,460,0.98615333674483,0.9527978129362494,BGI_T20_WGS_2023_1_T.sorted.deduped.recaled.filter.SNV_HC,0.9691886694771097,0.9694755748405397
indels,1709,2655,1621,1034,88,0.9485078993563488,0.6105461393596987,SL_WGS_HCC1395_01-1.recal.filter.SNV_HC,0.742896425297892,0.7795270193580237
SNVs,31512,37944,31211,6733,301,0.9904480832698654,0.8225542905334177,SL_WGS_HCC1395_01-1.recal.filter.SNV_HC,0.898727251785303,0.9065011869016415
records,33221,41886,32832,9054,389,0.9882905391168236,0.7838418564675548,SL_WGS_HCC1395_01-1.recal.filter.SNV_HC,0.874272704275234,0.8860661977921893
indels,1709,2436,1634,802,75,0.9561146869514336,0.6707717569786535,WGE_WGS_2023_1_T.sorted.deduped.recaled.filter.SNV_HC,0.7884197828709288,0.8134432219650436
SNVs,31512,31536,31246,290,266,0.9915587712617416,0.9908041603247084,WGE_WGS_2023_1_T.sorted.deduped.recaled.filter.SNV_HC,0.9911813221672378,0.991181465793225
records,33221,34377,32880,1497,341,0.9897354083260588,0.9564534427087878,WGE_WGS_2023_1_T.sorted.deduped.recaled.filter.SNV_HC,0.9728098464451611,0.9730944255174233
indels,1709,5798,1566,4232,143,0.9163253364540668,0.2700931355639876,BMK_WGS_HCC1395_01-1.recal.filter.SNV_HC,0.4172106034367924,0.5932092360090271
SNVs,31512,43076,30911,12165,601,0.980927900482356,0.7175921626892005,BMK_WGS_HCC1395_01-1.recal.filter.SNV_HC,0.8288464632380543,0.8492600315857781
records,33221,49943,32477,17466,744,0.9776045272568556,0.6502813207056044,BMK_WGS_HCC1395_01-1.recal.filter.SNV_HC,0.7810350632485211,0.81394292398123
indels,1709,2430,1607,823,102,0.9403159742539496,0.6613168724279835,MGI_WGS_HCC1395_03-1.recal.filter.norm.SNV_HC,0.7765160666827736,0.8008164233409666
SNVs,31512,31947,31143,804,369,0.9882901751713632,0.9748333176824115,MGI_WGS_HCC1395_03-1.recal.filter.norm.SNV_HC,0.9815156242613341,0.9815617464268874
records,33221,34867,32750,2117,471,0.9858222208843804,0.9392835632546532,MGI_WGS_HCC1395_03-1.recal.filter.norm.SNV_HC,0.9619903654094701,0.9625528920695168
indels,1709,2526,1605,921,104,0.9391456992393212,0.6353919239904988,ANO_WGS_HCC1395_01-2.recal.filter.norm.SNV_HC,0.7579693034238489,0.78726881161491
