type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score,Reproducibility
indels,1709,2224,1670,554,39,0.9771796372147454,0.7508992805755396,WGS_WUX_2023_3.strelka.SNV_HC,0.8492245105517416,0.8640394588951426
SNVs,31512,33087,31297,1790,215,0.993177202335618,0.9459002024964488,WGS_WUX_2023_3.strelka.SNV_HC,0.9689623678385114,0.9695387024160335
records,33221,35311,32967,2344,254,0.9923542337677976,0.9336184191894876,WGS_WUX_2023_3.strelka.SNV_HC,0.9620907021537385,0.9629863264786427
indels,1709,2241,1635,606,74,0.9566998244587478,0.7295850066934404,BGI_T20_WGS_2023_3.strelka.SNV_HC,0.8278481012658229,0.843142415576094
SNVs,31512,33418,31382,2036,130,0.995874587458746,0.9390747501346579,BGI_T20_WGS_2023_3.strelka.SNV_HC,0.9666409979978439,0.967474668796702
records,33221,35659,33017,2642,204,0.9938593058607508,0.9259093076081776,BGI_T20_WGS_2023_3.strelka.SNV_HC,0.9586817653890825,0.9598843067344641
indels,1709,3025,1664,1361,45,0.97366881217086,0.5500826446280992,ANO_WGS_HCC1395_01-1.strelka.norm.SNV_HC,0.7029995775242923,0.7618757283994797
SNVs,31512,34247,31360,2887,152,0.9951764407209952,0.915700645311998,ANO_WGS_HCC1395_01-1.strelka.norm.SNV_HC,0.9537857935795859,0.9554385430164967
records,33221,37272,33024,4248,197,0.9940700159537642,0.8860270444301352,ANO_WGS_HCC1395_01-1.strelka.norm.SNV_HC,0.936944093739804,0.9400485301919497
indels,1709,3842,1651,2191,58,0.9660620245757752,0.4297241020301926,BMK_WGS_HCC1395_01-2.strelka.norm.SNV_HC,0.594847775175644,0.697893063302984
SNVs,31512,36051,31343,4708,169,0.9946369636963696,0.8694072286483038,BMK_WGS_HCC1395_01-2.strelka.norm.SNV_HC,0.9278155203291742,0.9320220961723367
records,33221,39893,32994,6899,227,0.9931669726979924,0.8270623918983281,BMK_WGS_HCC1395_01-2.strelka.norm.SNV_HC,0.902535766063955,0.9101146822981601
indels,1709,2418,1678,740,31,0.9818607372732592,0.6939619520264682,BGI_T7_WGS_2023_1.strelka.SNV_HC,0.8131814877635086,0.8379113446498636
SNVs,31512,33043,31360,1683,152,0.9951764407209952,0.9490663680658536,BGI_T7_WGS_2023_1.strelka.SNV_HC,0.9715746262876617,0.9721214043934243
records,33221,35461,33038,2423,183,0.9944914361397912,0.9316714136657172,BGI_T7_WGS_2023_1.strelka.SNV_HC,0.9620570163943973,0.9630814249027542
indels,1709,3325,1662,1663,47,0.9724985371562316,0.4998496240601504,ANO_WGS_HCC1395_01-2.strelka.norm.SNV_HC,0.6603098927294397,0.736174080608191
SNVs,31512,34676,31363,3313,149,0.9952716425488702,0.904458415042104,ANO_WGS_HCC1395_01-2.strelka.norm.SNV_HC,0.9476944461231643,0.9498650287954871
records,33221,38001,33025,4976,196,0.9941001173956232,0.8690560774716455,ANO_WGS_HCC1395_01-2.strelka.norm.SNV_HC,0.9273819887113532,0.9315780974336343
indels,1709,2171,1671,500,38,0.9777647747220596,0.7696913864578535,WGS_WUX_2023_2.strelka.SNV_HC,0.861340206185567,0.8737280805899565
SNVs,31512,32972,31283,1689,229,0.9927329271388676,0.9487747179424968,WGS_WUX_2023_2.strelka.SNV_HC,0.9702561875814156,0.9707538225406822
records,33221,35143,32954,2189,267,0.9919629150236297,0.9377116353185556,WGS_WUX_2023_2.strelka.SNV_HC,0.9640746591773448,0.9648372751710926
indels,1709,3821,1656,2165,53,0.9689877121123464,0.43339439937189217,NVG_WGS_HCC1395_03-1.strelka.norm.SNV_HC,0.5989150090415912,0.7011910557421193
SNVs,31512,34566,31324,3242,188,0.994034018786494,0.9062084128912804,NVG_WGS_HCC1395_03-1.strelka.norm.SNV_HC,0.9480916492629923,0.9501212158388872
