type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score,Reproducibility
indels,1709,1658,1471,187,238,0.8607372732592159,0.8872135102533173,MGI_WGS_HCC1395_03-1.somatic.SNV_HC,0.8737748737748738,0.8739753917562666
SNVs,31512,32056,31011,1045,501,0.9841012947448592,0.9674007986024458,MGI_WGS_HCC1395_03-1.somatic.SNV_HC,0.9756795872136924,0.9757510466736524
records,33221,33714,32482,1232,739,0.9777550344661509,0.9634573174348936,MGI_WGS_HCC1395_03-1.somatic.SNV_HC,0.9705535220736536,0.9706061759505222
indels,1709,1475,1377,98,332,0.8057343475716794,0.9335593220338984,BMK_WGS_HCC1395_01-1.somatic.SNV_HC,0.8649497487437187,0.8696468348027888
SNVs,31512,30834,29931,903,1581,0.9498286367098248,0.970714146721152,BMK_WGS_HCC1395_01-1.somatic.SNV_HC,0.9601578288903859,0.9602713917154884
records,33221,32309,31308,1001,1913,0.9424159417236084,0.9690179207032096,BMK_WGS_HCC1395_01-1.somatic.SNV_HC,0.9555318174881733,0.9557169312134091
indels,1709,1743,1516,227,193,0.8870684610883558,0.8697647733792312,ANO_WGS_HCC1395_03-2.somatic.SNV_HC,0.8783314020857474,0.8784166172337935
SNVs,31512,32557,31336,1221,176,0.9944148260979944,0.9624965445219156,ANO_WGS_HCC1395_03-2.somatic.SNV_HC,0.9781953831025926,0.9784556853099549
records,33221,34300,32852,1448,369,0.988892567954005,0.9577842565597668,ANO_WGS_HCC1395_03-2.somatic.SNV_HC,0.9730898535270509,0.9733384122568859
indels,1709,1646,1469,177,240,0.8595669982445875,0.8924665856622114,WGS_WUX_2023_2_T.somatic.SNV_HC,0.8757078986587182,0.8760167919533994
SNVs,31512,32403,31341,1062,171,0.9945734958111196,0.9672252569206556,WGS_WUX_2023_2_T.somatic.SNV_HC,0.9807087538136589,0.9808993763658875
records,33221,34049,32810,1239,411,0.9876283073959242,0.9636112661164792,WGS_WUX_2023_2_T.somatic.SNV_HC,0.9754719785937267,0.9756197867562018
indels,1709,1683,1420,263,289,0.8308952603861908,0.8437314319667261,BGI_T10_WGS_2023_2_T.somatic.SNV_HC,0.8372641509433962,0.8373133461764584
SNVs,31512,32393,31333,1060,179,0.9943196242701192,0.967276880807582,BGI_T10_WGS_2023_2_T.somatic.SNV_HC,0.9806118457084736,0.9807982525388506
records,33221,34076,32753,1323,468,0.9859125252099576,0.9611750205423172,BGI_T10_WGS_2023_2_T.somatic.SNV_HC,0.9733866294188449,0.9735437728761374
indels,1709,1634,1471,163,238,0.8607372732592159,0.9002447980416156,MGI_WGS_HCC1395_01-1.somatic.SNV_HC,0.8800478612025127,0.8804910356504158
SNVs,31512,31908,30899,1009,613,0.9805470931708556,0.968377836279303,MGI_WGS_HCC1395_01-1.somatic.SNV_HC,0.9744244717754652,0.9744624647250792
records,33221,33542,32370,1172,851,0.9743836729779356,0.9650587323355792,MGI_WGS_HCC1395_01-1.somatic.SNV_HC,0.969698785255306,0.9697212026567574
indels,1709,1102,1006,96,703,0.5886483323581042,0.912885662431942,SL_WGS_HCC1395_01-1.somatic.SNV_HC,0.7157595161864106,0.7507669973950231
SNVs,31512,25666,25231,435,6281,0.8006791063721757,0.9830515078313724,SL_WGS_HCC1395_01-1.somatic.SNV_HC,0.8825422365245376,0.8918653071017739
records,33221,26768,26237,531,6984,0.7897715300562898,0.9801628810520024,SL_WGS_HCC1395_01-1.somatic.SNV_HC,0.8747270332894365,0.8849672055541461
indels,1709,1701,1512,189,197,0.8847279110590989,0.8888888888888888,ANO_WGS_HCC1395_03-1.somatic.SNV_HC,0.8868035190615835,0.8868083999739939
SNVs,31512,32509,31322,1187,190,0.993970550901244,0.9634870343597156,ANO_WGS_HCC1395_03-1.somatic.SNV_HC,0.9784914324987113,0.9787287926304798
