,PGx.SNV,PGx.INDEL,SEQC2.SNV,SEQC2.INDEL
Total,1132,119,281,12
breast,258,12,178,4
large_intestine,203,5,3,
lung,141,,7,
haematopoietic_and_lymphoid_tissue,129,9,9,
skin,102,1,19,
liver,87,14,14,2
oesophagus,39,2,6,
prostate,36,2,6,1
pancreas,29,1,13,
upper_aerodigestive_tract,21,2,4,
urinary_tract,12,,4,
stomach,11,1,4,
kidney,10,,2,
central_nervous_system,10,25,2,
biliary_tract,10,37,1,5
bone,9,1,,
soft_tissue,8,3,1,
thyroid,7,,,
ovary,3,1,3,
meninges,2,3,,
salivary_gland,2,,1,
cervix,1,,,
genital_tract,1,,1,
NS,1,,2,
endometrium,,,1,
