Sample	rRNA counts	Yeast counts	No hits percentage	Mouse percentage	Mitoch counts	EColi percentage	Yeast percentage	EColi counts	Human percentage	Mitoch percentage	Vector percentage	Virus percentage	Adapter counts	ERCC percentage	Human counts	No hits counts	Vector counts	rRNA percentage	total_reads	ERCC counts	Phix counts	Adapter percentage	Mouse counts	Phix percentage	Virus counts
ANO_WGS_HCC1395BL_02-1_1	73.0	330.0	0.76	9.82	219.0	0.0	0.32999999999999996	0.0	99.14	0.22	0.22999999999999998	0.62	2.0	0.0	99153.0	760	229.0	0.07	100000	2.0	0.0	0.0	9818.0	0.0	612.0
ANO_WGS_HCC1395BL_02-1_2	78.0	330.0	0.75	9.68	219.0	0.0	0.33	0.0	99.14	0.22	0.43	0.8300000000000001	1.0	0.0	99139.0	750	422.0	0.07	100000	1.0	0.0	0.0	9677.0	0.0	835.0
ANO_WGS_HCC1395BL_02-2_1	72.0	316.0	0.68	10.07	219.0	0.0	0.31	0.0	99.22	0.22	0.19999999999999998	0.5700000000000001	1.0	0.0	99228.0	680	202.0	0.07	100000	2.0	0.0	0.0	10063.0	0.0	579.0
ANO_WGS_HCC1395BL_04-1_1	95.0	321.0	0.69	9.93	239.0	0.0	0.32	0.0	99.22000000000001	0.24	0.17	0.55	2.0	0.0	99212.0	690	172.0	0.09999999999999999	100000	2.0	0.0	0.0	9940.0	0.0	560.0
ANO_WGS_HCC1395BL_04-2_1	68.0	361.0	0.73	9.92	183.0	0.0	0.36	0.0	99.16000000000001	0.18	0.19	0.63	2.0	0.0	99165.0	730	197.0	0.06999999999999999	100000	1.0	0.0	0.0	9926.0	0.0	628.0
ANO_WGS_HCC1395_01-1_1	51.0	357.0	0.63	9.76	139.0	0.0	0.36	0.0	99.36000000000001	0.14	0.21000000000000002	0.54	0.0	0.0	99356.0	630	212.0	0.05	100000	5.0	0.0	0.0	9761.0	0.0	540.0
ANO_WGS_HCC1395_01-2_1	55.0	318.0	0.6	9.65	131.0	0.0	0.32	0.0	99.39	0.13	0.19	0.47000000000000003	0.0	0.0	99385.0	600	194.0	0.05	100000	2.0	0.0	0.0	9649.0	0.0	468.0
ANO_WGS_HCC1395_03-1_1	54.0	315.0	0.62	9.67	126.0	0.0	0.31	0.0	99.36000000000001	0.13	0.24	0.53	2.0	0.0	99362.0	620	233.0	0.05	100000	3.0	0.0	0.0	9668.0	0.0	523.0
ANO_WGS_HCC1395_03-2_1	52.0	349.0	0.59	9.98	126.0	0.0	0.35	0.0	99.40999999999998	0.13	0.21	0.57	2.0	0.0	99403.0	590	214.0	0.05	100000	3.0	0.0	0.0	9989.0	0.0	560.0
BMK_WGS_HCC1395BL_02-1_1	87.0	268.0	0.56	11.05	204.0	0.0	0.27	0.0	99.32	0.2	0.15000000000000002	0.5	9.0	0.0	99321.0	560	142.0	0.08	100000	2.0	0.0	0.01	11055.0	0.0	498.0
