Sample Name,% Duplication,% > Q30,Mb Q30 bases,M Reads After Filtering,GC content,% PF,% Adapter,Reads length,Reads length After filtering,Depth
ARD_WGS_2023_1_Nfastp,0.20%,96.10%,224713.3,1567.9,40.60%,100.00%,5.20%,150 ,142.20 ,71.74574093
ARD_WGS_2023_1_Tfastp,0.20%,95.70%,217990.1,1529,40.60%,100.00%,5.00%,150 ,142.50 ,70.11331773
BGI_T10_WGS_2021_1_Nfastp,3.00%,92.50%,320847.1,3471.3,40.40%,100.00%,0.20%,100 ,99.80 ,111.4810006
BGI_T10_WGS_2021_1_Tfastp,1.30%,91.10%,230988.5,2537.7,40.50%,100.00%,0.30%,100 ,99.70 ,81.41672081
BGI_T10_WGS_2021_2_Nfastp,1.90%,91.70%,240576.7,2625.8,39.90%,100.00%,0.20%,100 ,99.80 ,84.32771912
BGI_T10_WGS_2021_2_Tfastp,3.60%,92.50%,333143.9,3606.2,40.40%,100.00%,0.30%,100 ,99.70 ,115.6972765
BGI_T10_WGS_2021_3_Nfastp,2.50%,92.30%,329988.8,3579.7,40.40%,100.00%,0.20%,100 ,99.80 ,114.9622729
BGI_T10_WGS_2021_3_Tfastp,2.30%,92.60%,264153,2855.3,40.50%,100.00%,0.20%,100 ,99.80 ,91.69812491
BGI_T10_WGS_2023_1_Nfastp,0.80%,90.80%,224185.8,2470.5,39.70%,100.00%,0.30%,100 ,99.70 ,79.26075137
BGI_T10_WGS_2023_1_Tfastp,1.10%,91.20%,211527.7,2322,39.60%,100.00%,0.30%,100 ,99.70 ,74.49644391
BGI_T10_WGS_2023_2_Nfastp,2.50%,91.90%,284006.7,3093.9,39.80%,100.00%,0.30%,100 ,99.70 ,99.26121784
BGI_T10_WGS_2023_2_Tfastp,2.00%,91.80%,282650.4,3083.7,39.80%,100.00%,0.30%,100 ,99.70 ,98.93397248
BGI_T10_WGS_2023_3_Nfastp,0.60%,90.40%,185590.2,2055.8,39.40%,100.00%,0.30%,100 ,99.70 ,65.95598165
BGI_T10_WGS_2023_3_Tfastp,2.10%,91.20%,239882.5,2632.1,39.60%,100.00%,0.30%,100 ,99.70 ,84.44534454
BGI_T20_WGS_2021_1_Nfastp,0.70%,93.60%,286745.2,3065.4,41.30%,99.90%,0.20%,100 ,99.80 ,98.44549858
BGI_T20_WGS_2021_1_Tfastp,1.10%,93.70%,324461.3,3466.7,41.40%,99.90%,0.20%,100 ,99.80 ,111.3332713
