"Sample_uniq","mean_polution","mean_RNA"
"ARD_WGS_2023_1",0.464999999999996,0.267499999999998
"BGI10_WGS_2023_1",0.465000000000003,0.160000000000004
"BGI10_WGS_2023_2",0.412500000000001,0.17499999999999
"BGI10_WGS_2023_3",0.4725,0.172500000000003
"BGI20_WGS_2023_1",0.707499999999996,0.189999999999998
"BGI20_WGS_2023_2",0.687499999999996,0.197499999999998
"BGI20_WGS_2023_3",0.787500000000001,0.212500000000002
"BGI7_WGS_2023_1",0.504999999999999,0.204999999999998
"NVG_WGS_2023_1",1.36,0.262499999999996
"WGE_WGS_2023_1",0.482499999999998,0.207499999999996
"WUX_WGS_2023_1",1.0575,0.235000000000003
"WUX_WGS_2023_2",1.0675,0.247499999999999
"WUX_WGS_2023_3",0.989999999999998,0.2225
