Sample	command
ARD_WGS_2023_1_Nfastp	/opt/conda/bin/fastp --in1 /cromwell_inputs/4facdea8/02_R1.fq.gz --in2 /cromwell_inputs/4facdea8/02_R2.fq.gz --out1 ARD_WGS_2023_1_Nclean_1.fastq.gz --out2 ARD_WGS_2023_1_Nclean_2.fastq.gz --json ARD_WGS_2023_1_Nfastp.json --html ARD_WGS_2023_1_Nfastp.html --report_title fastp report --thread 32 --length_required 30 
ARD_WGS_2023_1_Tfastp	/opt/conda/bin/fastp --in1 /cromwell_inputs/ccf98d88/01_R1.fq.gz --in2 /cromwell_inputs/ccf98d88/01_R2.fq.gz --out1 ARD_WGS_2023_1_Tclean_1.fastq.gz --out2 ARD_WGS_2023_1_Tclean_2.fastq.gz --json ARD_WGS_2023_1_Tfastp.json --html ARD_WGS_2023_1_Tfastp.html --report_title fastp report --thread 32 --length_required 30 
BGI_T10_WGS_2021_1_Nfastp	/opt/conda/bin/fastp --in1 /cromwell_inputs/725f7c59/PL2303070379_1.fq.gz --in2 /cromwell_inputs/725f7c59/PL2303070379_2.fq.gz --out1 BGI_T10_WGS_2021_1_Nclean_1.fastq.gz --out2 BGI_T10_WGS_2021_1_Nclean_2.fastq.gz --json BGI_T10_WGS_2021_1_Nfastp.json --html BGI_T10_WGS_2021_1_Nfastp.html --report_title fastp report --thread 32 --length_required 30 
BGI_T10_WGS_2021_1_Tfastp	/opt/conda/bin/fastp --in1 /cromwell_inputs/85da28aa/PL2303070378_1.fq.gz --in2 /cromwell_inputs/85da28aa/PL2303070378_2.fq.gz --out1 BGI_T10_WGS_2021_1_Tclean_1.fastq.gz --out2 BGI_T10_WGS_2021_1_Tclean_2.fastq.gz --json BGI_T10_WGS_2021_1_Tfastp.json --html BGI_T10_WGS_2021_1_Tfastp.html --report_title fastp report --thread 32 --length_required 30 
BGI_T10_WGS_2021_2_Nfastp	/opt/conda/bin/fastp --in1 /cromwell_inputs/1d1e54a1/PL2303070381_1.fq.gz --in2 /cromwell_inputs/1d1e54a1/PL2303070381_2.fq.gz --out1 BGI_T10_WGS_2021_2_Nclean_1.fastq.gz --out2 BGI_T10_WGS_2021_2_Nclean_2.fastq.gz --json BGI_T10_WGS_2021_2_Nfastp.json --html BGI_T10_WGS_2021_2_Nfastp.html --report_title fastp report --thread 32 --length_required 30 
BGI_T10_WGS_2021_2_Tfastp	/opt/conda/bin/fastp --in1 /cromwell_inputs/73c4b51a/PL2303070380_1.fq.gz --in2 /cromwell_inputs/73c4b51a/PL2303070380_2.fq.gz --out1 BGI_T10_WGS_2021_2_Tclean_1.fastq.gz --out2 BGI_T10_WGS_2021_2_Tclean_2.fastq.gz --json BGI_T10_WGS_2021_2_Tfastp.json --html BGI_T10_WGS_2021_2_Tfastp.html --report_title fastp report --thread 32 --length_required 30 
BGI_T10_WGS_2021_3_Nfastp	/opt/conda/bin/fastp --in1 /cromwell_inputs/f10ee48a/PL2303070383_1.fq.gz --in2 /cromwell_inputs/f10ee48a/PL2303070383_2.fq.gz --out1 BGI_T10_WGS_2021_3_Nclean_1.fastq.gz --out2 BGI_T10_WGS_2021_3_Nclean_2.fastq.gz --json BGI_T10_WGS_2021_3_Nfastp.json --html BGI_T10_WGS_2021_3_Nfastp.html --report_title fastp report --thread 32 --length_required 30 
BGI_T10_WGS_2021_3_Tfastp	/opt/conda/bin/fastp --in1 /cromwell_inputs/c1b47494/PL2303070382_1.fq.gz --in2 /cromwell_inputs/c1b47494/PL2303070382_2.fq.gz --out1 BGI_T10_WGS_2021_3_Tclean_1.fastq.gz --out2 BGI_T10_WGS_2021_3_Tclean_2.fastq.gz --json BGI_T10_WGS_2021_3_Tfastp.json --html BGI_T10_WGS_2021_3_Tfastp.html --report_title fastp report --thread 32 --length_required 30 
BGI_T10_WGS_2023_1_Nfastp	/opt/conda/bin/fastp --in1 /cromwell_inputs/970fcb4f/PL2303070385_1.fq.gz --in2 /cromwell_inputs/970fcb4f/PL2303070385_2.fq.gz --out1 BGI_T10_WGS_2023_1_Nclean_1.fastq.gz --out2 BGI_T10_WGS_2023_1_Nclean_2.fastq.gz --json BGI_T10_WGS_2023_1_Nfastp.json --html BGI_T10_WGS_2023_1_Nfastp.html --report_title fastp report --thread 32 --length_required 30 
BGI_T10_WGS_2023_1_Tfastp	/opt/conda/bin/fastp --in1 /cromwell_inputs/a7e0b75f/PL2303070384_1.fq.gz --in2 /cromwell_inputs/a7e0b75f/PL2303070384_2.fq.gz --out1 BGI_T10_WGS_2023_1_Tclean_1.fastq.gz --out2 BGI_T10_WGS_2023_1_Tclean_2.fastq.gz --json BGI_T10_WGS_2023_1_Tfastp.json --html BGI_T10_WGS_2023_1_Tfastp.html --report_title fastp report --thread 32 --length_required 30 
BGI_T10_WGS_2023_2_Nfastp	/opt/conda/bin/fastp --in1 /cromwell_inputs/d35816fd/PL2303070387_1.fq.gz --in2 /cromwell_inputs/d35816fd/PL2303070387_2.fq.gz --out1 BGI_T10_WGS_2023_2_Nclean_1.fastq.gz --out2 BGI_T10_WGS_2023_2_Nclean_2.fastq.gz --json BGI_T10_WGS_2023_2_Nfastp.json --html BGI_T10_WGS_2023_2_Nfastp.html --report_title fastp report --thread 32 --length_required 30 
BGI_T10_WGS_2023_2_Tfastp	/opt/conda/bin/fastp --in1 /cromwell_inputs/07ab3b57/PL2303070386_1.fq.gz --in2 /cromwell_inputs/07ab3b57/PL2303070386_2.fq.gz --out1 BGI_T10_WGS_2023_2_Tclean_1.fastq.gz --out2 BGI_T10_WGS_2023_2_Tclean_2.fastq.gz --json BGI_T10_WGS_2023_2_Tfastp.json --html BGI_T10_WGS_2023_2_Tfastp.html --report_title fastp report --thread 32 --length_required 30 
