Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
ARD_WGS_2023_1_Nfastp	0.194977	0.961334	224713251161.0	1567893320.0	0.405578	99.99999668344793	5.167640953583928
ARD_WGS_2023_1_Tfastp	0.16808599999999999	0.956827	217990080767.0	1529008980.0	0.405665	99.99999542187143	4.957478047628299
BGI_T10_WGS_2021_1_Nfastp	3.03774	0.925221	320847106212.0	3471331250.0	0.403647	99.99231339595002	0.24722072537556739
BGI_T10_WGS_2021_1_Tfastp	1.33321	0.911319	230988499963.0	2537662322.0	0.405043	99.99452723091736	0.2906564931458914
BGI_T10_WGS_2021_2_Nfastp	1.9119400000000002	0.917158	240576696738.0	2625784890.0	0.398676	99.99337156431939	0.245726308859474
BGI_T10_WGS_2021_2_Tfastp	3.62689	0.924829	333143870659.0	3606245394.0	0.404398	99.99215866382328	0.2653834237570361
BGI_T10_WGS_2021_3_Nfastp	2.54392	0.922771	329988834246.0	3579680044.0	0.403857	99.99273323055155	0.24279707309858714
BGI_T10_WGS_2021_3_Tfastp	2.2724100000000003	0.92608	264153028139.0	2855286308.0	0.405204	99.99097075768475	0.24553253780518866
BGI_T10_WGS_2023_1_Nfastp	0.7857430000000001	0.908489	224185792444.0	2470493296.0	0.397376	99.9954830495009	0.2755015187592367
BGI_T10_WGS_2023_1_Tfastp	1.10144	0.912111	211527720079.0	2321960950.0	0.395691	99.99330946519788	0.29385263626708463
BGI_T10_WGS_2023_2_Nfastp	2.51813	0.918968	284006703971.0	3093859178.0	0.398286	99.99200143928329	0.26287872037166377
BGI_T10_WGS_2023_2_Tfastp	2.01145	0.917671	282650403133.0	3083725828.0	0.398299	99.99483554039318	0.2795254601661887
BGI_T10_WGS_2023_3_Nfastp	0.5694560000000001	0.903803	185590206711.0	2055841648.0	0.394251	99.99544859200822	0.2805126318323273
BGI_T10_WGS_2023_3_Tfastp	2.10661	0.912498	239882532083.0	2632122660.0	0.395738	99.99666394458444	0.3002632990056731
