,type,JI,source
0,snps,0.170878,BGI_T10_WGS_2023_2_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec.HCR
1,indels,0.156091,BGI_T10_WGS_2023_2_TNseq_strelka.isecVSWGS_WUX_2021_2_TNseq_strelka.isec.HCR
2,snps,0.207346,NVG_WGS_2023_1_TNseq_strelka.isecVSBGI_T7_WGS_2023_1_TNseq_strelka.isec.HCR
3,indels,0.311688,NVG_WGS_2023_1_TNseq_strelka.isecVSBGI_T7_WGS_2023_1_TNseq_strelka.isec.HCR
4,snps,0.55161,WGS_WUX_2021_3_TNseq_strelka.isecVSBGI_T10_WGS_2023_3_TNseq_strelka.isec
5,indels,0.441738,WGS_WUX_2021_3_TNseq_strelka.isecVSBGI_T10_WGS_2023_3_TNseq_strelka.isec
6,snps,0.0742404,BGI_T20_WGS_2021_2_TNseq_strelka.isecVSARD_WGS_2023_1_TNseq_strelka.isec.HCR
7,indels,0.215079,BGI_T20_WGS_2021_2_TNseq_strelka.isecVSARD_WGS_2023_1_TNseq_strelka.isec.HCR
8,snps,0.197046,BGI_T7_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_3_TNseq_strelka.isec
9,indels,0.252762,BGI_T7_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_3_TNseq_strelka.isec
10,snps,0.187117,WGS_WUX_2021_3_TNseq_strelka.isecVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
11,indels,0.147973,WGS_WUX_2021_3_TNseq_strelka.isecVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
12,snps,0.544386,WGS_WUX_2023_3_TNseq_strelka.isec.HCRVSWGS_WUX_2023_2_TNseq_strelka.isec.HCR
13,indels,0.277035,WGS_WUX_2023_3_TNseq_strelka.isec.HCRVSWGS_WUX_2023_2_TNseq_strelka.isec.HCR
14,snps,0.552776,BGI_T7_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
15,indels,0.361551,BGI_T7_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2023_1_TNseq_strelka.isec.HCR
16,snps,0.100352,NVG_WGS_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2023_1_TNseq_strelka.isec.HCR
17,indels,0.270652,NVG_WGS_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2023_1_TNseq_strelka.isec.HCR
18,snps,0.0810801,BGI_T20_WGS_2021_2_TNseq_strelka.isecVSBGI_T10_WGS_2023_3_TNseq_strelka.isec.HCR
19,indels,0.210119,BGI_T20_WGS_2021_2_TNseq_strelka.isecVSBGI_T10_WGS_2023_3_TNseq_strelka.isec.HCR
20,snps,0.0967221,BGI_T10_WGS_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2023_3_TNseq_strelka.isec.HCR
21,indels,0.241779,BGI_T10_WGS_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2023_3_TNseq_strelka.isec.HCR
22,snps,0.51394,BGI_T10_WGS_2021_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_1_TNseq_strelka.isec.HCR
23,indels,0.719417,BGI_T10_WGS_2021_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_1_TNseq_strelka.isec.HCR
24,snps,0.0888981,WGS_WUX_2023_3_TNseq_strelka.isecVSBGI_T20_WGS_2021_1_TNseq_strelka.isec.HCR
25,indels,0.157959,WGS_WUX_2023_3_TNseq_strelka.isecVSBGI_T20_WGS_2021_1_TNseq_strelka.isec.HCR
26,snps,0.189495,WGS_WUX_2023_3_TNseq_strelka.isecVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
27,indels,0.153647,WGS_WUX_2023_3_TNseq_strelka.isecVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
28,snps,0.0886001,WGS_WUX_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2021_1_TNseq_strelka.isec.HCR
29,indels,0.150942,WGS_WUX_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2021_1_TNseq_strelka.isec.HCR
30,snps,0.164785,BGI_T20_WGS_2023_3_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2021_1_TNseq_strelka.isec.HCR
31,indels,0.530998,BGI_T20_WGS_2023_3_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2021_1_TNseq_strelka.isec.HCR
32,snps,0.187865,WGS_WUX_2023_1_TNseq_strelka.isecVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
33,indels,0.149471,WGS_WUX_2023_1_TNseq_strelka.isecVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
34,snps,0.120038,BGI_T20_WGS_2023_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
35,indels,0.266427,BGI_T20_WGS_2023_3_TNseq_strelka.isec.HCRVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
36,snps,0.324134,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2023_1_TNseq_strelka.isec
37,indels,0.811133,BGI_T20_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2023_1_TNseq_strelka.isec
38,snps,0.207742,BGI_T10_WGS_2021_2_TNseq_strelka.isecVSBGI_T10_WGS_2021_1_TNseq_strelka.isec.HCR
