type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score,Reproducibility,Month
indels,1709,1708,1520,188,189,0.889409011,0.889929742,ANO_WGS_HCC1395_01-1.somatic.SNV_HC,0.889669301,0.889669377,35
SNVs,31512,32531,31330,1201,182,0.994224422,0.963081369,ANO_WGS_HCC1395_01-1.somatic.SNV_HC,0.978405134,0.978652895,35
records,33221,34239,32850,1389,371,0.988832365,0.959432226,ANO_WGS_HCC1395_01-1.somatic.SNV_HC,0.973910465,0.974132296,35
indels,1709,1712,1506,206,203,0.881217086,0.879672897,ANO_WGS_HCC1395_01-2.somatic.SNV_HC,0.880444315,0.880444992,35
SNVs,31512,32461,31257,1204,255,0.991907845,0.962909337,ANO_WGS_HCC1395_01-2.somatic.SNV_HC,0.977193504,0.977408591,35
records,33221,34173,32763,1410,458,0.98621354,0.958739356,ANO_WGS_HCC1395_01-2.somatic.SNV_HC,0.972282399,0.972476448,35
indels,1709,1701,1512,189,197,0.884727911,0.888888889,ANO_WGS_HCC1395_03-1.somatic.SNV_HC,0.886803519,0.8868084,35
SNVs,31512,32509,31322,1187,190,0.993970551,0.963487034,ANO_WGS_HCC1395_03-1.somatic.SNV_HC,0.978491432,0.978728793,35
records,33221,34210,32834,1376,387,0.988350742,0.959777843,ANO_WGS_HCC1395_03-1.somatic.SNV_HC,0.973854755,0.974064292,35
indels,1709,1743,1516,227,193,0.887068461,0.869764773,ANO_WGS_HCC1395_03-2.somatic.SNV_HC,0.878331402,0.878416617,35
SNVs,31512,32557,31336,1221,176,0.994414826,0.962496545,ANO_WGS_HCC1395_03-2.somatic.SNV_HC,0.978195383,0.978455685,35
records,33221,34300,32852,1448,369,0.988892568,0.957784257,ANO_WGS_HCC1395_03-2.somatic.SNV_HC,0.973089854,0.973338412,35
indels,1709,1707,1445,262,264,0.845523698,0.846514353,ARD_WGS_2023_1.somatic.SNV_HC,0.846018735,0.846019025,1
SNVs,31512,31244,30447,797,1065,0.966203351,0.974491102,ARD_WGS_2023_1.somatic.SNV_HC,0.97032953,0.970347227,1
records,33221,32951,31892,1059,1329,0.959995184,0.96786137,ARD_WGS_2023_1.somatic.SNV_HC,0.963912229,0.963928277,1
indels,1709,1629,1398,231,311,0.818022235,0.858195212,BGI_T10_WGS_2023_1_T.somatic.SNV_HC,0.837627322,0.838108724,1
SNVs,31512,32337,31302,1035,210,0.993335872,0.96799332,BGI_T10_WGS_2023_1_T.somatic.SNV_HC,0.980500869,0.980664596,1
