type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score,Reproducibility
indels,24,38,24,14,0,1.0,0.631578947368,HCC1395-1-2.filter.SNV_HC,0.774193548387,0.815789473684
SNVs,634,602,589,13,45,0.929022082019,0.978405315615,HCC1395-1-2.filter.SNV_HC,0.953074433657,0.953713698817
records,658,652,613,39,45,0.931610942249,0.94018404908,HCC1395-1-2.filter.SNV_HC,0.935877862595,0.935897495664
indels,24,38,24,14,0,1.0,0.631578947368,HCC1395-3-4-30.filter.SNV_HC,0.774193548387,0.815789473684
SNVs,634,607,586,21,48,0.92429022082,0.965403624382,HCC1395-3-4-30.filter.SNV_HC,0.944399677679,0.944846922601
records,658,657,610,47,48,0.927051671733,0.928462709285,HCC1395-3-4-30.filter.SNV_HC,0.927756653993,0.927757190509
indels,24,36,24,12,0,1.0,0.666666666667,HCC1395-3-4-15.filter.SNV_HC,0.8,0.833333333333
SNVs,634,602,584,18,50,0.921135646688,0.970099667774,HCC1395-3-4-15.filter.SNV_HC,0.94498381877,0.945617657231
records,658,651,608,43,50,0.924012158055,0.933947772657,HCC1395-3-4-15.filter.SNV_HC,0.928953399542,0.928979965356
indels,24,38,23,15,1,0.958333333333,0.605263157895,HCC1395-2-4-15.filter.SNV_HC,0.741935483871,0.781798245614
SNVs,634,620,588,32,46,0.927444794953,0.948387096774,HCC1395-2-4-15.filter.SNV_HC,0.937799043062,0.937915945863
records,658,670,611,59,47,0.928571428571,0.911940298507,HCC1395-2-4-15.filter.SNV_HC,0.920180722891,0.920255863539
indels,24,35,23,12,1,0.958333333333,0.657142857143,HCC1395-1-4-15.filter.SNV_HC,0.779661016949,0.807738095238
SNVs,634,596,587,9,47,0.925867507886,0.984899328859,HCC1395-1-4-15.filter.SNV_HC,0.954471544715,0.955383418373
records,658,644,610,34,48,0.927051671733,0.947204968944,HCC1395-1-4-15.filter.SNV_HC,0.937019969278,0.937128320338
indels,24,37,24,13,0,1.0,0.648648648649,HCC1395-2-3.filter.SNV_HC,0.786885245902,0.824324324324
SNVs,634,595,587,8,47,0.925867507886,0.986554621849,HCC1395-2-3.filter.SNV_HC,0.955248169243,0.956211064868
records,658,644,611,33,47,0.928571428571,0.948757763975,HCC1395-2-3.filter.SNV_HC,0.938556067588,0.938664596273
indels,24,35,23,12,1,0.958333333333,0.657142857143,HCC1395-3-2.filter.SNV_HC,0.779661016949,0.807738095238
SNVs,634,602,586,16,48,0.92429022082,0.97342192691,HCC1395-3-2.filter.SNV_HC,0.948220064725,0.948856073865
records,658,649,609,40,49,0.925531914894,0.938366718028,HCC1395-3-2.filter.SNV_HC,0.931905126244,0.931949316461
indels,24,36,24,12,0,1.0,0.666666666667,HCC1395-2-2.filter.SNV_HC,0.8,0.833333333333
SNVs,634,599,586,13,48,0.92429022082,0.978297161937,HCC1395-2-2.filter.SNV_HC,0.950527169505,0.951293691378
records,658,647,610,37,48,0.927051671733,0.942812982998,HCC1395-2-2.filter.SNV_HC,0.934865900383,0.934932327365
indels,24,36,24,12,0,1.0,0.666666666667,HCC1395-1-1.filter.SNV_HC,0.8,0.833333333333
SNVs,634,593,582,11,52,0.917981072555,0.981450252951,HCC1395-1-1.filter.SNV_HC,0.948655256724,0.949715662753
records,658,641,606,35,52,0.920972644377,0.945397815913,HCC1395-1-1.filter.SNV_HC,0.933025404157,0.933185230145
indels,24,38,24,14,0,1.0,0.631578947368,HCC1395-3-3.filter.SNV_HC,0.774193548387,0.815789473684
SNVs,634,592,584,8,50,0.921135646688,0.986486486486,HCC1395-3-3.filter.SNV_HC,0.952691680261,0.953811066587
records,658,643,608,35,50,0.924012158055,0.945567651633,HCC1395-3-3.filter.SNV_HC,0.934665641814,0.934789904844
indels,24,36,24,12,0,1.0,0.666666666667,HCC1395-2-1.filter.SNV_HC,0.8,0.833333333333
SNVs,634,592,584,8,50,0.921135646688,0.986486486486,HCC1395-2-1.filter.SNV_HC,0.952691680261,0.953811066587
records,658,640,608,32,50,0.924012158055,0.95,HCC1395-2-1.filter.SNV_HC,0.936825885979,0.937006079027
indels,24,37,24,13,0,1.0,0.648648648649,HCC1395-2-4-30.filter.SNV_HC,0.786885245902,0.824324324324
SNVs,634,608,590,18,44,0.930599369085,0.970394736842,HCC1395-2-4-30.filter.SNV_HC,0.950080515298,0.950497052964
records,658,657,614,43,44,0.933130699088,0.934550989346,HCC1395-2-4-30.filter.SNV_HC,0.933840304183,0.933840844217
indels,24,39,23,16,1,0.958333333333,0.589743589744,HCC1395-1-3.filter.SNV_HC,0.730158730159,0.774038461538
SNVs,634,605,586,19,48,0.92429022082,0.968595041322,HCC1395-1-3.filter.SNV_HC,0.945924132365,0.946442631071
records,658,656,609,47,49,0.925531914894,0.928353658537,HCC1395-1-3.filter.SNV_HC,0.92694063927,0.926942786715
indels,24,37,23,14,1,0.958333333333,0.621621621622,HCC1395-3-1.filter.SNV_HC,0.754098360656,0.789977477477
SNVs,634,608,587,21,47,0.925867507886,0.965460526316,HCC1395-3-1.filter.SNV_HC,0.945249597423,0.945664017101
records,658,657,610,47,48,0.927051671733,0.928462709285,HCC1395-3-1.filter.SNV_HC,0.927756653993,0.927757190509
indels,24,35,22,13,2,0.916666666667,0.628571428571,HCC1395-1-4-30.filter.SNV_HC,0.745762711864,0.772619047619
SNVs,634,600,585,15,49,0.922712933754,0.975,HCC1395-1-4-30.filter.SNV_HC,0.948136142626,0.948856466877
records,658,647,607,40,51,0.922492401216,0.938176197836,HCC1395-1-4-30.filter.SNV_HC,0.930268199234,0.930334299526
