type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score,Reproducibility
indels,35,37,35,2,0,1.0,0.945945945946,HCC1395-3-2.filter.vcfVSHCC1395-2-3.filter.vcf_HCR,0.972222222222,0.972972972973
SNVs,602,595,586,9,16,0.97342192691,0.98487394958,HCC1395-3-2.filter.vcfVSHCC1395-2-3.filter.vcf_HCR,0.979114452799,0.979147938245
records,649,644,633,11,16,0.975346687211,0.982919254658,HCC1395-3-2.filter.vcfVSHCC1395-2-3.filter.vcf_HCR,0.979118329466,0.979132970935
MNPs,12,12,12,0,0,1.0,1.0,HCC1395-3-2.filter.vcfVSHCC1395-2-3.filter.vcf_HCR,1.0,1.0
indels,38,39,35,4,3,0.921052631579,0.897435897436,HCC1395-3-4-30.filter.vcfVSHCC1395-1-3.filter.vcf_HCR,0.909090909091,0.909244264507
SNVs,607,605,585,20,22,0.963756177924,0.96694214876,HCC1395-3-4-30.filter.vcfVSHCC1395-1-3.filter.vcf_HCR,0.965346534653,0.965349163342
records,657,656,632,24,25,0.961948249619,0.963414634146,HCC1395-3-4-30.filter.vcfVSHCC1395-1-3.filter.vcf_HCR,0.962680883473,0.962681441883
MNPs,12,12,12,0,0,1.0,1.0,HCC1395-3-4-30.filter.vcfVSHCC1395-1-3.filter.vcf_HCR,1.0,1.0
indels,38,35,35,0,3,0.921052631579,1.0,HCC1395-1-2.filter.vcfVSHCC1395-3-2.filter.vcf_HCR,0.958904109589,0.960526315789
SNVs,602,602,587,15,15,0.975083056478,0.975083056478,HCC1395-1-2.filter.vcfVSHCC1395-3-2.filter.vcf_HCR,0.975083056478,0.975083056478
records,652,649,634,15,18,0.972392638037,0.97688751926,HCC1395-1-2.filter.vcfVSHCC1395-3-2.filter.vcf_HCR,0.974634896234,0.974640078649
MNPs,12,12,12,0,0,1.0,1.0,HCC1395-1-2.filter.vcfVSHCC1395-3-2.filter.vcf_HCR,1.0,1.0
indels,38,35,34,1,4,0.894736842105,0.971428571429,HCC1395-3-3.filter.vcfVSHCC1395-1-4-15.filter.vcf_HCR,0.931506849315,0.933082706767
SNVs,592,596,585,11,7,0.988175675676,0.981543624161,HCC1395-3-3.filter.vcfVSHCC1395-1-4-15.filter.vcf_HCR,0.984848484849,0.984859649918
records,643,644,631,13,12,0.98133748056,0.979813664596,HCC1395-3-3.filter.vcfVSHCC1395-1-4-15.filter.vcf_HCR,0.980574980575,0.980575572578
MNPs,13,13,12,1,1,0.923076923077,0.923076923077,HCC1395-3-3.filter.vcfVSHCC1395-1-4-15.filter.vcf_HCR,0.923076923077,0.923076923077
indels,35,36,35,1,0,1.0,0.972222222222,HCC1395-3-2.filter.vcfVSHCC1395-2-2.filter.vcf_HCR,0.985915492958,0.986111111111
SNVs,602,599,585,14,17,0.971760797342,0.976627712855,HCC1395-3-2.filter.vcfVSHCC1395-2-2.filter.vcf_HCR,0.97418817652,0.974194255098
records,649,647,632,15,17,0.973805855162,0.976816074189,HCC1395-3-2.filter.vcfVSHCC1395-2-2.filter.vcf_HCR,0.975308641976,0.975310964675
MNPs,12,12,12,0,0,1.0,1.0,HCC1395-3-2.filter.vcfVSHCC1395-2-2.filter.vcf_HCR,1.0,1.0
indels,38,36,35,1,3,0.921052631579,0.972222222222,HCC1395-3-3.filter.vcfVSHCC1395-2-1.filter.vcf_HCR,0.945945945946,0.946637426901
SNVs,592,592,583,9,9,0.984797297297,0.984797297297,HCC1395-3-3.filter.vcfVSHCC1395-2-1.filter.vcf_HCR,0.984797297297,0.984797297297
records,643,640,630,10,13,0.979782270607,0.984375,HCC1395-3-3.filter.vcfVSHCC1395-2-1.filter.vcf_HCR,0.982073265784,0.982078635303
MNPs,13,12,12,0,1,0.923076923077,1.0,HCC1395-3-3.filter.vcfVSHCC1395-2-1.filter.vcf_HCR,0.96,0.961538461538
indels,38,39,35,4,3,0.921052631579,0.897435897436,HCC1395-1-2.filter.vcfVSHCC1395-1-3.filter.vcf_HCR,0.909090909091,0.909244264507
SNVs,602,605,586,19,16,0.97342192691,0.968595041322,HCC1395-1-2.filter.vcfVSHCC1395-1-3.filter.vcf_HCR,0.971002485501,0.971008484116
records,652,656,633,23,19,0.970858895706,0.96493902439,HCC1395-1-2.filter.vcfVSHCC1395-1-3.filter.vcf_HCR,0.967889908257,0.967898960048
MNPs,12,12,12,0,0,1.0,1.0,HCC1395-1-2.filter.vcfVSHCC1395-1-3.filter.vcf_HCR,1.0,1.0
indels,36,35,34,1,2,0.944444444444,0.971428571429,HCC1395-2-1.filter.vcfVSHCC1395-1-4-30.filter.vcf_HCR,0.957746478873,0.957936507937
SNVs,592,600,583,17,9,0.984797297297,0.971666666667,HCC1395-2-1.filter.vcfVSHCC1395-1-4-30.filter.vcf_HCR,0.978187919463,0.978231981982
records,640,647,629,18,11,0.9828125,0.972179289026,HCC1395-2-1.filter.vcfVSHCC1395-1-4-30.filter.vcf_HCR,0.977466977467,0.977495894513
MNPs,12,12,12,0,0,1.0,1.0,HCC1395-2-1.filter.vcfVSHCC1395-1-4-30.filter.vcf_HCR,1.0,1.0
indels,35,35,34,1,1,0.971428571429,0.971428571429,HCC1395-1-4-15.filter.vcfVSHCC1395-1-4-30.filter.vcf_HCR,0.971428571429,0.971428571429
SNVs,596,600,586,14,10,0.98322147651,0.976666666667,HCC1395-1-4-15.filter.vcfVSHCC1395-1-4-30.filter.vcf_HCR,0.979933110368,0.979944071588
records,644,647,632,15,12,0.981366459627,0.976816074189,HCC1395-1-4-15.filter.vcfVSHCC1395-1-4-30.filter.vcf_HCR,0.979085979861,0.979091266908
MNPs,13,12,12,0,1,0.923076923077,1.0,HCC1395-1-4-15.filter.vcfVSHCC1395-1-4-30.filter.vcf_HCR,0.96,0.961538461538
indels,36,39,35,4,1,0.972222222222,0.897435897436,HCC1395-2-1.filter.vcfVSHCC1395-1-3.filter.vcf_HCR,0.933333333333,0.934829059829
SNVs,592,605,584,21,8,0.986486486486,0.965289256198,HCC1395-2-1.filter.vcfVSHCC1395-1-3.filter.vcf_HCR,0.975772765246,0.975887871342
records,640,656,631,25,9,0.9859375,0.961890243902,HCC1395-2-1.filter.vcfVSHCC1395-1-3.filter.vcf_HCR,0.973765432099,0.973913871951
MNPs,12,12,12,0,0,1.0,1.0,HCC1395-2-1.filter.vcfVSHCC1395-1-3.filter.vcf_HCR,1.0,1.0
indels,38,36,36,0,2,0.947368421053,1.0,HCC1395-1-2.filter.vcfVSHCC1395-3-4-15.filter.vcf_HCR,0.972972972973,0.973684210526
SNVs,602,602,586,16,16,0.97342192691,0.97342192691,HCC1395-1-2.filter.vcfVSHCC1395-3-4-15.filter.vcf_HCR,0.97342192691,0.97342192691
records,652,651,634,17,18,0.972392638037,0.973886328725,HCC1395-1-2.filter.vcfVSHCC1395-3-4-15.filter.vcf_HCR,0.973138910207,0.973139483381
MNPs,12,13,12,1,0,1.0,0.923076923077,HCC1395-1-2.filter.vcfVSHCC1395-3-4-15.filter.vcf_HCR,0.96,0.961538461538
indels,37,38,35,3,2,0.945945945946,0.921052631579,HCC1395-3-1.filter.vcfVSHCC1395-3-3.filter.vcf_HCR,0.933333333333,0.933499288762
SNVs,608,592,585,7,23,0.962171052632,0.988175675676,HCC1395-3-1.filter.vcfVSHCC1395-3-3.filter.vcf_HCR,0.975,0.975173364154
records,657,643,631,12,26,0.960426179604,0.98133748056,HCC1395-3-1.filter.vcfVSHCC1395-3-3.filter.vcf_HCR,0.970769230769,0.970881830082
MNPs,12,13,11,2,1,0.916666666667,0.846153846154,HCC1395-3-1.filter.vcfVSHCC1395-3-3.filter.vcf_HCR,0.88,0.88141025641
indels,39,36,35,1,4,0.897435897436,0.972222222222,HCC1395-1-3.filter.vcfVSHCC1395-3-4-15.filter.vcf_HCR,0.933333333333,0.934829059829
SNVs,605,602,583,19,22,0.963636363636,0.968438538206,HCC1395-1-3.filter.vcfVSHCC1395-3-4-15.filter.vcf_HCR,0.966031483016,0.966037450921
records,656,651,630,21,26,0.960365853659,0.967741935484,HCC1395-1-3.filter.vcfVSHCC1395-3-4-15.filter.vcf_HCR,0.964039785769,0.964053894571
MNPs,12,13,12,1,0,1.0,0.923076923077,HCC1395-1-3.filter.vcfVSHCC1395-3-4-15.filter.vcf_HCR,0.96,0.961538461538
indels,37,36,34,2,3,0.918918918919,0.944444444444,HCC1395-3-1.filter.vcfVSHCC1395-2-2.filter.vcf_HCR,0.931506849315,0.931681681682
SNVs,608,599,586,13,22,0.963815789474,0.978297161937,HCC1395-3-1.filter.vcfVSHCC1395-2-2.filter.vcf_HCR,0.971002485502,0.971056475705
records,657,647,631,16,26,0.960426179604,0.975270479134,HCC1395-3-1.filter.vcfVSHCC1395-2-2.filter.vcf_HCR,0.967791411043,0.967848329369
