type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score,Reproducibility
indels,24,37,22,15,2,0.9166666666666666,0.5945945945945946,SEQ_WES_HCC1395_2_2.filter.SNV_HC,0.7213114754098361,0.7556306306306306
SNVs,634,593,586,7,48,0.9242902208201892,0.988195615514334,SEQ_WES_HCC1395_2_2.filter.SNV_HC,0.9551752241238795,0.9562429181672616
records,658,643,608,35,50,0.9240121580547112,0.9455676516329704,SEQ_WES_HCC1395_2_2.filter.SNV_HC,0.9346656418139891,0.9347899048438408
indels,24,38,22,16,2,0.9166666666666666,0.5789473684210527,SEQ_WES_HCC1395_4_2.filter.SNV_HC,0.7096774193548387,0.7478070175438596
SNVs,634,584,582,2,52,0.9179810725552049,0.9965753424657534,SEQ_WES_HCC1395_4_2.filter.SNV_HC,0.9556650246305418,0.9572782075104792
records,658,634,604,30,54,0.917933130699088,0.9526813880126184,SEQ_WES_HCC1395_4_2.filter.SNV_HC,0.9349845201238389,0.9353072593558531
indels,24,35,23,12,1,0.9583333333333334,0.6571428571428571,SEQ_WES_HCC1395_4_1.filter.SNV_HC,0.7796610169491525,0.8077380952380953
SNVs,634,582,579,3,55,0.9132492113564668,0.9948453608247424,SEQ_WES_HCC1395_4_1.filter.SNV_HC,0.9523026315789472,0.9540472860906046
records,658,629,602,27,56,0.9148936170212766,0.9570747217806042,SEQ_WES_HCC1395_4_1.filter.SNV_HC,0.9355089355089357,0.9359841694009403
indels,24,39,22,17,2,0.9166666666666666,0.5641025641025641,SEQ_WES_HCC1395_2_1.filter.SNV_HC,0.6984126984126983,0.7403846153846154
SNVs,634,583,580,3,54,0.9148264984227128,0.9948542024013722,SEQ_WES_HCC1395_2_1.filter.SNV_HC,0.9531635168447,0.9548403504120426
records,658,634,602,32,56,0.9148936170212766,0.9495268138801262,SEQ_WES_HCC1395_2_1.filter.SNV_HC,0.9318885448916409,0.9322102154507014
indels,24,38,24,14,0,1.0,0.631578947368421,SEQ_WES_HCC1395_4_3.filter.SNV_HC,0.7741935483870968,0.8157894736842105
SNVs,634,589,585,4,49,0.9227129337539433,0.9932088285229204,SEQ_WES_HCC1395_4_3.filter.SNV_HC,0.9566639411283729,0.9579608811384317
records,658,639,609,30,49,0.9255319148936171,0.9530516431924884,SEQ_WES_HCC1395_4_3.filter.SNV_HC,0.9390902081727064,0.9392917790430526
indels,24,34,24,10,0,1.0,0.7058823529411765,SEQ_WES_HCC1395_2_3.filter.SNV_HC,0.8275862068965517,0.8529411764705883
SNVs,634,586,581,5,53,0.9164037854889591,0.9914675767918087,SEQ_WES_HCC1395_2_3.filter.SNV_HC,0.9524590163934427,0.9539356811403839
records,658,632,605,27,53,0.919452887537994,0.9572784810126582,SEQ_WES_HCC1395_2_3.filter.SNV_HC,0.9379844961240311,0.9383656842753261
indels,24,37,24,13,0,1.0,0.6486486486486487,SEQ_WES_HCC1395_3_2.filter.SNV_HC,0.7868852459016393,0.8243243243243243
SNVs,634,590,587,3,47,0.9258675078864352,0.994915254237288,SEQ_WES_HCC1395_3_2.filter.SNV_HC,0.9591503267973855,0.9603913810618617
records,658,640,611,29,47,0.9285714285714286,0.9546875,SEQ_WES_HCC1395_3_2.filter.SNV_HC,0.9414483821263482,0.9416294642857144
indels,24,34,23,11,1,0.9583333333333334,0.6764705882352942,SEQ_WES_HCC1395_3_3.filter.SNV_HC,0.7931034482758621,0.8174019607843137
SNVs,634,585,581,4,53,0.9164037854889591,0.9931623931623932,SEQ_WES_HCC1395_3_3.filter.SNV_HC,0.9532403609515997,0.9547830893256761
records,658,631,604,27,54,0.917933130699088,0.9572107765451664,SEQ_WES_HCC1395_3_3.filter.SNV_HC,0.9371605896043443,0.9375719536221272
indels,24,36,23,13,1,0.9583333333333334,0.6388888888888888,SEQ_WES_HCC1395_3_1.filter.SNV_HC,0.7666666666666666,0.7986111111111112
SNVs,634,588,579,9,55,0.9132492113564668,0.9846938775510204,SEQ_WES_HCC1395_3_1.filter.SNV_HC,0.9476268412438624,0.9489715444537437
records,658,636,602,34,56,0.9148936170212766,0.9465408805031448,SEQ_WES_HCC1395_3_1.filter.SNV_HC,0.9304482225656879,0.9307172487622106
