type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score
indels,31,41,28,13,3,0.903225806452,0.682926829268,HCC1395_2023_1.TNseq.Indel.F1,0.7777777777777315
records,31,689,28,661,3,0.903225806452,0.0406386066763,HCC1395_2023_1.TNseq.Indel.F1,0.07777777777770134
indels,31,40,27,13,4,0.870967741935,0.675,HCC1395_2023_2.TNseq.Indel.F1,0.7605633802815057
records,31,689,27,662,4,0.870967741935,0.0391872278665,HCC1395_2023_2.TNseq.Indel.F1,0.07500000000004738
SNVs,689,636,634,2,55,0.920174165457,0.996855345912,HCC1395_2023_1.TNseq.SNV.F1,0.9569811320753953
records,689,689,634,55,55,0.920174165457,0.920174165457,HCC1395_2023_1.TNseq.SNV.F1,0.920174165457
indels,31,40,27,13,4,0.870967741935,0.675,HCC1395_2023_3.TNseq.Indel.F1,0.7605633802815057
records,31,684,27,657,4,0.870967741935,0.0394736842105,HCC1395_2023_3.TNseq.Indel.F1,0.07552447552442554
SNVs,689,637,633,4,56,0.918722786647,0.993720565149,HCC1395_2023_2.TNseq.SNV.F1,0.9547511312214862
records,689,689,633,56,56,0.918722786647,0.918722786647,HCC1395_2023_2.TNseq.SNV.F1,0.918722786647
SNVs,689,632,628,4,61,0.911465892598,0.993670886076,HCC1395_2023_3.TNseq.SNV.F1,0.9507948523845977
records,689,684,628,56,61,0.911465892598,0.918128654971,HCC1395_2023_3.TNseq.SNV.F1,0.9147851420248984
