type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score
indels,5053,6112,4880,1232,173,0.965762913121,0.798429319372,ARD_WGS_2023_1.strelka.Indel.F1,0.8741603224363812
records,5053,64794,4880,59914,173,0.965762913121,0.0753156156434,ARD_WGS_2023_1.strelka.Indel.F1,0.13973399000668893
SNVs,58418,58682,57573,1109,845,0.985535280222,0.981101530282,ARD_WGS_2023_1.strelka.SNV.F1,0.9833134073442965
records,58418,64794,57573,7221,845,0.985535280222,0.888554495787,ARD_WGS_2023_1.strelka.SNV.F1,0.9345355971823557
indels,5053,18807,4405,14402,648,0.871759350881,0.23422130058,ARD_WGS_2023_1.TNscope.Indel.F1,0.3692372171003111
records,5053,257350,4405,252945,648,0.871759350881,0.0171167670488,ARD_WGS_2023_1.TNscope.Indel.F1,0.03357431126937226
indels,5053,4573,3647,926,1406,0.721749455769,0.797507106932,ARD_WGS_2023_1.TNseq.norm.Indel.F1,0.7577394556410585
records,5053,57513,3647,53866,1406,0.721749455769,0.0634117503869,ARD_WGS_2023_1.TNseq.norm.Indel.F1,0.11658089057960226
SNVs,58418,226151,56649,169502,1769,0.96971823753,0.25049192796,ARD_WGS_2023_1.TNscope.SNV.F1,0.39813893994125005
records,58418,257350,56649,200701,1769,0.96971823753,0.220124344278,ARD_WGS_2023_1.TNscope.SNV.F1,0.3588013984948373
indels,5053,4573,3647,926,1406,0.721749455769,0.797507106932,ARD_WGS_2023_1.TNseq.Indel.F1,0.7577394556410585
records,5053,57513,3647,53866,1406,0.721749455769,0.0634117503869,ARD_WGS_2023_1.TNseq.Indel.F1,0.11658089057960226
SNVs,58418,52296,51915,381,6503,0.888681570749,0.992714547958,ARD_WGS_2023_1.TNseq.norm.SNV.F1,0.9378217750241781
records,58418,57513,51915,5598,6503,0.888681570749,0.902665484325,ARD_WGS_2023_1.TNseq.norm.SNV.F1,0.8956189457522066
indels,5053,5465,4650,815,403,0.920245398773,0.850869167429,BGI_T10_WGS_2021_1.strelka.Indel.F1,0.8841985168282407
records,5053,61207,4650,56557,403,0.920245398773,0.075971702583,BGI_T10_WGS_2021_1.strelka.Indel.F1,0.1403561726531197
indels,5053,5231,4131,1100,922,0.817534138136,0.789715159625,BGI_T10_WGS_2021_1.TNscope.Indel.F1,0.8033838973161741
records,5053,59624,4131,55493,922,0.817534138136,0.0692841808668,BGI_T10_WGS_2021_1.TNscope.Indel.F1,0.12774247414079237
SNVs,58418,52296,51915,381,6503,0.888681570749,0.992714547958,ARD_WGS_2023_1.TNseq.SNV.F1,0.9378217750241781
records,58418,57513,51915,5598,6503,0.888681570749,0.902665484325,ARD_WGS_2023_1.TNseq.SNV.F1,0.8956189457522066
