type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score,Reproducibility
indels,40,40,40,0,0,1.0,1.0,HCC1395_2023_3.TNseqVSHCC1395_2023_2.TNseq_HCR,1.0,1.0
SNVs,632,637,626,11,6,0.9905063291139241,0.9827315541601256,HCC1395_2023_3.TNseqVSHCC1395_2023_2.TNseq_HCR,0.9866036249014973,0.9866189416370248
records,684,689,678,11,6,0.9912280701754386,0.9840348330914368,HCC1395_2023_3.TNseqVSHCC1395_2023_2.TNseq_HCR,0.98761835396941,0.9876314516334377
MNPs,12,12,12,0,0,1.0,1.0,HCC1395_2023_3.TNseqVSHCC1395_2023_2.TNseq_HCR,1.0,1.0
indels,40,41,40,1,0,1.0,0.975609756097561,HCC1395_2023_3.TNseqVSHCC1395_2023_1.TNseq_HCR,0.9876543209876543,0.9878048780487805
SNVs,632,636,627,9,5,0.9920886075949368,0.9858490566037736,HCC1395_2023_3.TNseqVSHCC1395_2023_1.TNseq_HCR,0.9889589905362776,0.988968832099355
records,684,689,679,10,5,0.9926900584795322,0.9854862119013064,HCC1395_2023_3.TNseqVSHCC1395_2023_1.TNseq_HCR,0.989075018208303,0.9890881351904193
MNPs,12,12,12,0,0,1.0,1.0,HCC1395_2023_3.TNseqVSHCC1395_2023_1.TNseq_HCR,1.0,1.0
indels,41,40,40,0,1,0.975609756097561,1.0,HCC1395_2023_1.TNseqVSHCC1395_2023_2.TNseq_HCR,0.9876543209876543,0.9878048780487805
SNVs,636,637,630,7,6,0.9905660377358492,0.989010989010989,HCC1395_2023_1.TNseqVSHCC1395_2023_2.TNseq_HCR,0.9897879025923018,0.989788513373419
records,689,689,682,7,7,0.9898403483309144,0.9898403483309144,HCC1395_2023_1.TNseqVSHCC1395_2023_2.TNseq_HCR,0.9898403483309144,0.9898403483309144
MNPs,12,12,12,0,0,1.0,1.0,HCC1395_2023_1.TNseqVSHCC1395_2023_2.TNseq_HCR,1.0,1.0
