type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score,Reproducibility
indels,24,36,24,12,0,1.0,0.6666666666666666,SEQ_WES_HCC1395_4_3.filter.vcf.Indel_HC,0.8,0.8333333333333333
records,24,645,24,621,0,1.0,0.0372093023255814,SEQ_WES_HCC1395_4_3.filter.vcf.Indel_HC,0.07174887892376682,0.5186046511627906
SNVs,634,597,587,10,47,0.9258675078864352,0.9832495812395309,SEQ_WES_HCC1395_2_2.filter.SNV_HC,0.9536961819658814,0.9545585445629832
records,634,646,587,59,47,0.9258675078864352,0.9086687306501549,SEQ_WES_HCC1395_2_2.filter.SNV_HC,0.9171875,0.917268119268295
indels,24,36,24,12,0,1.0,0.6666666666666666,SEQ_WES_HCC1395_4_2.filter.vcf.Indel_HC,0.8,0.8333333333333333
records,24,649,24,625,0,1.0,0.03697996918335902,SEQ_WES_HCC1395_4_2.filter.vcf.Indel_HC,0.07132243684992572,0.5184899845916795
SNVs,634,600,587,13,47,0.9258675078864352,0.9783333333333334,SEQ_WES_HCC1395_4_2.filter.SNV_HC,0.9513776337115073,0.9521004206098844
records,634,649,587,62,47,0.9258675078864352,0.9044684129429892,SEQ_WES_HCC1395_4_2.filter.SNV_HC,0.9150428682774746,0.9151679604147123
SNVs,634,611,585,26,49,0.9227129337539433,0.9574468085106383,SEQ_WES_HCC1395_4_1.filter.SNV_HC,0.9397590361445783,0.9400798711322909
records,634,661,585,76,49,0.9227129337539433,0.8850226928895613,SEQ_WES_HCC1395_4_1.filter.SNV_HC,0.9034749034749034,0.9038678133217523
indels,24,38,24,14,0,1.0,0.631578947368421,SEQ_WES_HCC1395_4_1.filter.vcf.Indel_HC,0.7741935483870968,0.8157894736842105
records,24,661,24,637,0,1.0,0.036308623298033284,SEQ_WES_HCC1395_4_1.filter.vcf.Indel_HC,0.07007299270072993,0.5181543116490166
indels,24,37,24,13,0,1.0,0.6486486486486487,SEQ_WES_HCC1395_2_1.filter.vcf.Indel_HC,0.7868852459016393,0.8243243243243243
records,24,647,24,623,0,1.0,0.037094281298299836,SEQ_WES_HCC1395_2_1.filter.vcf.Indel_HC,0.07153502235469446,0.51854714064915
indels,24,40,24,16,0,1.0,0.6,SEQ_WES_HCC1395_3_3.filter.vcf.Indel_HC,0.7499999999999999,0.8
records,24,653,24,629,0,1.0,0.03675344563552834,SEQ_WES_HCC1395_3_3.filter.vcf.Indel_HC,0.07090103397341213,0.5183767228177641
indels,24,36,24,12,0,1.0,0.6666666666666666,SEQ_WES_HCC1395_2_3.filter.vcf.Indel_HC,0.8,0.8333333333333333
records,24,641,24,617,0,1.0,0.0374414976599064,SEQ_WES_HCC1395_2_3.filter.vcf.Indel_HC,0.07218045112781955,0.5187207488299532
indels,24,28,15,13,9,0.625,0.5357142857142857,SEQ_WES_HCC1395_3_1.filter.vcf.Indel_HC,0.576923076923077,0.5803571428571428
records,24,580,15,565,9,0.625,0.02586206896551724,SEQ_WES_HCC1395_3_1.filter.vcf.Indel_HC,0.049668874172185434,0.3254310344827586
indels,24,36,24,12,0,1.0,0.6666666666666666,SEQ_WES_HCC1395_2_2.filter.vcf.Indel_HC,0.8,0.8333333333333333
records,24,646,24,622,0,1.0,0.037151702786377715,SEQ_WES_HCC1395_2_2.filter.vcf.Indel_HC,0.07164179104477614,0.5185758513931888
SNVs,634,598,586,12,48,0.9242902208201892,0.979933110367893,SEQ_WES_HCC1395_2_1.filter.SNV_HC,0.9512987012987012,0.9521116655940411
records,634,647,586,61,48,0.9242902208201892,0.9057187017001546,SEQ_WES_HCC1395_2_1.filter.SNV_HC,0.9149102263856361,0.915004461260172
SNVs,634,597,587,10,47,0.9258675078864352,0.9832495812395309,SEQ_WES_HCC1395_4_3.filter.SNV_HC,0.9536961819658814,0.9545585445629832
records,634,645,587,58,47,0.9258675078864352,0.9100775193798448,SEQ_WES_HCC1395_4_3.filter.SNV_HC,0.9179046129788897,0.9179725136331401
SNVs,634,592,583,9,51,0.9195583596214509,0.9847972972972971,SEQ_WES_HCC1395_2_3.filter.SNV_HC,0.9510603588907013,0.9521778284593742
records,634,641,583,58,51,0.9195583596214509,0.9095163806552262,SEQ_WES_HCC1395_2_3.filter.SNV_HC,0.9145098039215686,0.9145373701383386
SNVs,634,601,586,15,48,0.9242902208201892,0.9750415973377704,SEQ_WES_HCC1395_3_3.filter.SNV_HC,0.9489878542510121,0.9496659090789799
records,634,653,586,67,48,0.9242902208201892,0.8973966309341501,SEQ_WES_HCC1395_3_3.filter.SNV_HC,0.9106449106449106,0.9108434258771697
SNVs,634,539,515,24,119,0.8123028391167192,0.9554730983302412,SEQ_WES_HCC1395_3_1.filter.SNV_HC,0.8780903665814151,0.8838879687234802
records,634,580,515,65,119,0.8123028391167192,0.8879310344827587,SEQ_WES_HCC1395_3_1.filter.SNV_HC,0.8484349258649093,0.850116936799739
