type,total.truth,total.query,tp,fp,fn,recall,precision,source,F1 score,Reproducibility
indels,33,34,33,1,0,1.0,0.970588235294,SEQ_WES_HCC1395_4_1.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,0.985074626866,0.985294117647
SNVs,583,582,577,5,6,0.989708404803,0.991408934708,SEQ_WES_HCC1395_4_1.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,0.990557939914,0.990558669755
records,628,628,622,6,6,0.990445859873,0.990445859873,SEQ_WES_HCC1395_4_1.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,0.990445859873,0.990445859873
MNPs,12,12,12,0,0,1.0,1.0,SEQ_WES_HCC1395_4_1.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,1.0,1.0
indels,31,32,31,1,0,1.0,0.96875,SEQ_WES_HCC1395_2_2.TNseq.vcfVSSEQ_WES_HCC1395_3_2.TNseq.vcf_HCR,0.984126984127,0.984375
SNVs,583,583,576,7,7,0.987993138937,0.987993138937,SEQ_WES_HCC1395_2_2.TNseq.vcfVSSEQ_WES_HCC1395_3_2.TNseq.vcf_HCR,0.987993138937,0.987993138937
records,627,626,618,8,9,0.985645933014,0.987220447284,SEQ_WES_HCC1395_2_2.TNseq.vcfVSSEQ_WES_HCC1395_3_2.TNseq.vcf_HCR,0.986432561851,0.986433190149
MNPs,13,11,11,0,2,0.846153846154,1.0,SEQ_WES_HCC1395_2_2.TNseq.vcfVSSEQ_WES_HCC1395_3_2.TNseq.vcf_HCR,0.916666666667,0.923076923077
indels,33,33,32,1,1,0.969696969697,0.969696969697,SEQ_WES_HCC1395_4_3.TNseq.vcfVSSEQ_WES_HCC1395_2_3.TNseq.vcf_HCR,0.969696969697,0.969696969697
SNVs,580,576,569,7,11,0.981034482759,0.987847222222,SEQ_WES_HCC1395_4_3.TNseq.vcfVSSEQ_WES_HCC1395_2_3.TNseq.vcf_HCR,0.984429065744,0.98444085249
records,625,620,612,8,13,0.9792,0.987096774194,SEQ_WES_HCC1395_4_3.TNseq.vcfVSSEQ_WES_HCC1395_2_3.TNseq.vcf_HCR,0.983132530121,0.983148387097
MNPs,12,11,11,0,1,0.916666666667,1.0,SEQ_WES_HCC1395_4_3.TNseq.vcfVSSEQ_WES_HCC1395_2_3.TNseq.vcf_HCR,0.956521739131,0.958333333333
indels,36,32,32,0,4,0.888888888889,1.0,SEQ_WES_HCC1395_3_3.TNseq.vcfVSSEQ_WES_HCC1395_3_2.TNseq.vcf_HCR,0.941176470588,0.944444444444
SNVs,587,583,577,6,10,0.982964224872,0.989708404803,SEQ_WES_HCC1395_3_3.TNseq.vcfVSSEQ_WES_HCC1395_3_2.TNseq.vcf_HCR,0.986324786325,0.986336314837
records,635,626,620,6,15,0.976377952756,0.990415335463,SEQ_WES_HCC1395_3_3.TNseq.vcfVSSEQ_WES_HCC1395_3_2.TNseq.vcf_HCR,0.983346550357,0.98339664411
MNPs,12,11,11,0,1,0.916666666667,1.0,SEQ_WES_HCC1395_3_3.TNseq.vcfVSSEQ_WES_HCC1395_3_2.TNseq.vcf_HCR,0.956521739131,0.958333333333
indels,33,34,33,1,0,1.0,0.970588235294,SEQ_WES_HCC1395_4_3.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,0.985074626866,0.985294117647
SNVs,580,582,572,10,8,0.986206896552,0.982817869416,SEQ_WES_HCC1395_4_3.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,0.984509466437,0.984512382984
records,625,628,617,11,8,0.9872,0.982484076433,SEQ_WES_HCC1395_4_3.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,0.984836392658,0.984842038217
MNPs,12,12,12,0,0,1.0,1.0,SEQ_WES_HCC1395_4_3.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,1.0,1.0
indels,33,33,32,1,1,0.969696969697,0.969696969697,SEQ_WES_HCC1395_4_1.TNseq.vcfVSSEQ_WES_HCC1395_2_3.TNseq.vcf_HCR,0.969696969697,0.969696969697
SNVs,583,576,571,5,12,0.979416809605,0.991319444444,SEQ_WES_HCC1395_4_1.TNseq.vcfVSSEQ_WES_HCC1395_2_3.TNseq.vcf_HCR,0.985332182916,0.985368127025
records,628,620,614,6,14,0.977707006369,0.990322580645,SEQ_WES_HCC1395_4_1.TNseq.vcfVSSEQ_WES_HCC1395_2_3.TNseq.vcf_HCR,0.983974358974,0.984014793507
MNPs,12,11,11,0,1,0.916666666667,1.0,SEQ_WES_HCC1395_4_1.TNseq.vcfVSSEQ_WES_HCC1395_2_3.TNseq.vcf_HCR,0.956521739131,0.958333333333
indels,31,33,31,2,0,1.0,0.939393939394,SEQ_WES_HCC1395_2_2.TNseq.vcfVSSEQ_WES_HCC1395_4_1.TNseq.vcf_HCR,0.96875,0.969696969697
SNVs,583,583,577,6,6,0.989708404803,0.989708404803,SEQ_WES_HCC1395_2_2.TNseq.vcfVSSEQ_WES_HCC1395_4_1.TNseq.vcf_HCR,0.989708404803,0.989708404803
records,627,628,620,8,7,0.988835725678,0.987261146497,SEQ_WES_HCC1395_2_2.TNseq.vcfVSSEQ_WES_HCC1395_4_1.TNseq.vcf_HCR,0.988047808765,0.988048436087
MNPs,13,12,12,0,1,0.923076923077,1.0,SEQ_WES_HCC1395_2_2.TNseq.vcfVSSEQ_WES_HCC1395_4_1.TNseq.vcf_HCR,0.96,0.961538461538
indels,33,32,31,1,2,0.939393939394,0.96875,SEQ_WES_HCC1395_4_1.TNseq.vcfVSSEQ_WES_HCC1395_3_2.TNseq.vcf_HCR,0.953846153846,0.954071969697
SNVs,583,583,577,6,6,0.989708404803,0.989708404803,SEQ_WES_HCC1395_4_1.TNseq.vcfVSSEQ_WES_HCC1395_3_2.TNseq.vcf_HCR,0.989708404803,0.989708404803
records,628,626,619,7,9,0.985668789809,0.988817891374,SEQ_WES_HCC1395_4_1.TNseq.vcfVSSEQ_WES_HCC1395_3_2.TNseq.vcf_HCR,0.987240829346,0.987243340591
MNPs,12,11,11,0,1,0.916666666667,1.0,SEQ_WES_HCC1395_4_1.TNseq.vcfVSSEQ_WES_HCC1395_3_2.TNseq.vcf_HCR,0.956521739131,0.958333333333
indels,35,33,33,0,2,0.942857142857,1.0,SEQ_WES_HCC1395_4_2.TNseq.vcfVSSEQ_WES_HCC1395_2_3.TNseq.vcf_HCR,0.970588235294,0.971428571429
SNVs,582,576,570,6,12,0.979381443299,0.989583333333,SEQ_WES_HCC1395_4_2.TNseq.vcfVSSEQ_WES_HCC1395_2_3.TNseq.vcf_HCR,0.984455958549,0.984482388316
records,629,620,614,6,15,0.976152623211,0.990322580645,SEQ_WES_HCC1395_4_2.TNseq.vcfVSSEQ_WES_HCC1395_2_3.TNseq.vcf_HCR,0.983186549239,0.983237601928
MNPs,12,11,11,0,1,0.916666666667,1.0,SEQ_WES_HCC1395_4_2.TNseq.vcfVSSEQ_WES_HCC1395_2_3.TNseq.vcf_HCR,0.956521739131,0.958333333333
indels,31,34,31,3,0,1.0,0.911764705882,SEQ_WES_HCC1395_2_2.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,0.953846153846,0.955882352941
SNVs,583,582,575,7,8,0.98627787307,0.987972508591,SEQ_WES_HCC1395_2_2.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,0.987124463519,0.987125190831
records,627,628,618,10,9,0.985645933014,0.984076433121,SEQ_WES_HCC1395_2_2.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,0.984860557769,0.984861183068
MNPs,13,12,12,0,1,0.923076923077,1.0,SEQ_WES_HCC1395_2_2.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,0.96,0.961538461538
indels,35,33,33,0,2,0.942857142857,1.0,SEQ_WES_HCC1395_4_2.TNseq.vcfVSSEQ_WES_HCC1395_4_1.TNseq.vcf_HCR,0.970588235294,0.971428571429
SNVs,582,583,576,7,6,0.989690721649,0.987993138937,SEQ_WES_HCC1395_4_2.TNseq.vcfVSSEQ_WES_HCC1395_4_1.TNseq.vcf_HCR,0.988841201717,0.988841930293
records,629,628,621,7,8,0.987281399046,0.988853503185,SEQ_WES_HCC1395_4_2.TNseq.vcfVSSEQ_WES_HCC1395_4_1.TNseq.vcf_HCR,0.988066825776,0.988067451115
MNPs,12,12,12,0,0,1.0,1.0,SEQ_WES_HCC1395_4_2.TNseq.vcfVSSEQ_WES_HCC1395_4_1.TNseq.vcf_HCR,1.0,1.0
indels,33,33,33,0,0,1.0,1.0,SEQ_WES_HCC1395_4_3.TNseq.vcfVSSEQ_WES_HCC1395_4_1.TNseq.vcf_HCR,1.0,1.0
SNVs,580,583,575,8,5,0.991379310345,0.98627787307,SEQ_WES_HCC1395_4_3.TNseq.vcfVSSEQ_WES_HCC1395_4_1.TNseq.vcf_HCR,0.988822012038,0.988828591708
records,625,628,620,8,5,0.992,0.987261146497,SEQ_WES_HCC1395_4_3.TNseq.vcfVSSEQ_WES_HCC1395_4_1.TNseq.vcf_HCR,0.98962490024,0.989630573248
MNPs,12,12,12,0,0,1.0,1.0,SEQ_WES_HCC1395_4_3.TNseq.vcfVSSEQ_WES_HCC1395_4_1.TNseq.vcf_HCR,1.0,1.0
indels,35,34,34,0,1,0.971428571429,1.0,SEQ_WES_HCC1395_4_2.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,0.985507246377,0.985714285714
SNVs,582,582,574,8,8,0.986254295533,0.986254295533,SEQ_WES_HCC1395_4_2.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,0.986254295533,0.986254295533
records,629,628,620,8,9,0.985691573927,0.987261146497,SEQ_WES_HCC1395_4_2.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,0.986475735879,0.986476360212
MNPs,12,12,12,0,0,1.0,1.0,SEQ_WES_HCC1395_4_2.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,1.0,1.0
indels,31,36,31,5,0,1.0,0.861111111111,SEQ_WES_HCC1395_2_2.TNseq.vcfVSSEQ_WES_HCC1395_3_3.TNseq.vcf_HCR,0.925373134328,0.930555555556
SNVs,583,587,576,11,7,0.987993138937,0.981260647359,SEQ_WES_HCC1395_2_2.TNseq.vcfVSSEQ_WES_HCC1395_3_3.TNseq.vcf_HCR,0.984615384615,0.984626893148
records,627,635,619,16,8,0.987240829346,0.974803149606,SEQ_WES_HCC1395_2_2.TNseq.vcfVSSEQ_WES_HCC1395_3_3.TNseq.vcf_HCR,0.980982567353,0.981021989476
MNPs,13,12,12,0,1,0.923076923077,1.0,SEQ_WES_HCC1395_2_2.TNseq.vcfVSSEQ_WES_HCC1395_3_3.TNseq.vcf_HCR,0.96,0.961538461538
indels,33,34,33,1,0,1.0,0.970588235294,SEQ_WES_HCC1395_2_3.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,0.985074626866,0.985294117647
SNVs,576,582,569,13,7,0.987847222222,0.977663230241,SEQ_WES_HCC1395_2_3.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,0.982728842833,0.982755226231
records,620,628,613,15,7,0.988709677419,0.976114649682,SEQ_WES_HCC1395_2_3.TNseq.vcfVSSEQ_WES_HCC1395_2_1.TNseq.vcf_HCR,0.982371794872,0.98241216355
