Well,Sample,DIN
A1,HCC1395_4-N1-1,9.2
B1,HCC1395_4-N2-1,9.3
C1,HCC1395_4-N3-1,9.4
D1,HCC1395_-20-N1-1,9.4
E1,HCC1395_-20-N2-1,9.3
F1,HCC1395_-20-N3-1,9.3
G1,HCC1395_-80-N1-1,9.5
H1,HCC1395_-80-N2-1,9.4
A2,HCC1395_-80-N3-1,9.4
B2,HCC1395BL_4-N1-1,9.5
C2,HCC1395BL_4-N2-1,9.5
D2,HCC1395BL_4-N3-1,9.5
E2,HCC1395BL_-20-N1-1,9.5
F2,HCC1395BL_-20-N2-1,9.6
G2,HCC1395BL_-20-N3-1,9.6
H2,HCC1395BL_-80-N1-1,9.6
A3,HCC1395BL_-80-N2-1,9.5
B3,HCC1395BL_-80-N3-1,9.5
C3,F7_4-N1-1,8.7
D3,F7_4-N2-1,8.6
E3,F7_4-N3-1,8.3
F3,F7_-20-N1-1,8.4
G3,F7_-20-N2-1,8.5
H3,F7_-20-N3-1,8.2
A4,F7_-80-N1-1,8.4
B4,F7_-80-N2-1,8.5
C4,F7_-80-N3-1,8.3
D4,HCC1395_4-N1-0,9.4
E4,HCC1395_4-N2-0,9.3
F4,HCC1395_4-N3-0,9.4
G4,HCC1395_-20-N1-0,9.4
H4,HCC1395_-20-N2-0,9.3
A5,HCC1395_-20-N3-0,9.4
B5,HCC1395_-80-N1-0,9.4
C5,HCC1395_-80-N2-0,9.3
D5,HCC1395_-80-N3-0,9.4
E5,HCC1395BL_4-N1-0,9.4
F5,HCC1395BL_4-N2-0,9.5
G5,HCC1395BL_4-N3-0,9.5
H5,HCC1395BL_-20-N1-0,9.4
A6,HCC1395BL_-20-N2-0,9.5
B6,HCC1395BL_-20-N3-0,9.5
C6,HCC1395BL_-80-N1-0,9.4
D6,HCC1395BL_-80-N2-0,9.5
E6,HCC1395BL_-80-N3-0,9.5
F6,F7_4-N1-0,8.6
G6,F7_4-N2-0,8.5
H6,F7_4-N3-0,8.6
A7,F7_-20-N1-0,8.6
B7,F7_-20-N2-0,8.5
C7,F7_-20-N3-0,8.6
D7,F7_-80-N1-0,8.6
E7,F7_-80-N2-0,8.5
F7,F7_-80-N3-0,8.6
,HCC1395_4-N1-3,9.1
,HCC1395_4-N2-3,9.1
,HCC1395_4-N3-3,9.2
,HCC1395_-20-N1-3,8.5
,HCC1395_-20-N2-3,9.3
,HCC1395_-20-N3-3,9
,HCC1395_-80-N1-3,9.3
,HCC1395_-80-N2-3,9
,HCC1395_-80-N3-3,8.9
,HCC1395BL_4-N1-3,9.1
,HCC1395BL_4-N2-3,9.3
,HCC1395BL_4-N3-3,9.3
,HCC1395BL_-20-N1-3,9.1
,HCC1395BL_-20-N2-3,9.2
,HCC1395BL_-20-N3-3,9.2
,HCC1395BL_-80-N1-3,9.2
,HCC1395BL_-80-N2-3,9.3
,HCC1395BL_-80-N3-3,9.3
,F7_4-N1-3,8.3
,F7_4-N2-3,7.4
,F7_4-N3-3,8.2
,F7_-20-N1-3,8.6
,F7_-20-N2-3,8.5
,F7_-20-N3-3,8.5
,F7_-80-N1-3,8.6
,F7_-80-N2-3,8.5
,F7_-80-N3-3,8.4
A5,HCC1395_4-N1-5,9.3
B5,HCC1395_4-N2-5,9.3
C5,HCC1395_4-N3-5,9.5
D5,HCC1395_-20-N1-5,9.3
E5,HCC1395_-20-N2-5,9.2
F5,HCC1395_-20-N3-5,9.3
G5,HCC1395_-80-N1-5,9.4
H5,HCC1395_-80-N2-5,9.2
A6,HCC1395_-80-N3-5,9.2
B6,HCC1395BL_4-N1-5,9.4
C6,HCC1395BL_4-N2-5,9.4
D6,HCC1395BL_4-N3-5,9.3
E6,HCC1395BL_-20-N1-5,9.2
F6,HCC1395BL_-20-N2-5,9.4
G6,HCC1395BL_-20-N3-5,9.4
H6,HCC1395BL_-80-N1-5,9.4
A7,HCC1395BL_-80-N2-5,9.5
B7,HCC1395BL_-80-N3-5,9.4
C7,F7_4-N1-5,8.3
D7,F7_4-N2-5,8.6
E7,F7_4-N3-5,8.7
F7,F7_-20-N1-5,8.6
G7,F7_-20-N2-5,8.7
H7,F7_-20-N3-5,8.6
A8,F7_-80-N1-5,8.7
B8,F7_-80-N2-5,8.5
C8,F7_-80-N3-5,8.6
