Sample,DIN,,STD
F7_-20-N1-0,8.2,,
F7_-20-N1-10,8.3,,
F7_-20-N1-15,8.4,,
F7_-20-N1-20,8.3,,
F7_-20-N1-5,8.2,,
F7_-20-N2-0,8.6,,
F7_-20-N2-10,8.5,,
F7_-20-N2-15,8.1,,
F7_-20-N2-20,8.1,,
F7_-20-N2-5,8.3,,
F7_-20-N3-0,8.5,,
F7_-20-N3-10,8.3,,
F7_-20-N3-15,8.3,,
F7_-20-N3-20,8.3,,
F7_-20-N3-5,8.2,0.14,0.143759058
F7_4-N1-0,8.5,,
F7_4-N1-10,8.5,,
F7_4-N1-15,8.7,,
F7_4-N1-20,8.5,,
F7_4-N1-5,8.4,,
F7_4-N2-0,8.5,,
F7_4-N2-10,8.6,,
F7_4-N2-15,8.7,,
F7_4-N2-20,8.4,,
F7_4-N2-5,8.2,,
F7_4-N3-0,8.6,,
F7_4-N3-10,8.6,,
F7_4-N3-15,8.7,,
F7_4-N3-20,8.5,,
F7_4-N3-5,8.4,0.14,0.137321312
F7_-80-N1-0,8.6,,
F7_-80-N1-10,8.4,,
F7_-80-N1-15,8.2,,
F7_-80-N1-20,8.1,,
F7_-80-N1-5,8.2,,
F7_-80-N2-0,8.4,,
F7_-80-N2-10,8.2,,
F7_-80-N2-15,8.2,,
F7_-80-N2-20,8.2,,
F7_-80-N2-5,8.4,,
F7_-80-N3-0,8.4,,
F7_-80-N3-10,8.3,,
F7_-80-N3-15,8.1,,
F7_-80-N3-20,8.2,,
F7_-80-N3-5,8.3,0.14,0.137321312
HCC1395_-20-N1-0,9.4,,
HCC1395_-20-N1-10,9.1,,
HCC1395_-20-N1-15,8.9,,
HCC1395_-20-N1-20,8.9,,
HCC1395_-20-N1-5,9.1,,
HCC1395_-20-N2-0,9.4,,
HCC1395_-20-N2-10,8.9,,
HCC1395_-20-N2-15,8.8,,
HCC1395_-20-N2-20,8.8,,
HCC1395_-20-N2-5,9.2,,
HCC1395_-20-N3-0,9.2,,
HCC1395_-20-N3-10,9,,
HCC1395_-20-N3-15,8.7,,
HCC1395_-20-N3-20,8.8,,
HCC1395_-20-N3-5,9.1,0.22,0.217781017
HCC1395_4-N1-0,9.2,,
HCC1395_4-N1-10,9.3,,
HCC1395_4-N1-15,9.3,,
HCC1395_4-N1-20,9.3,,
HCC1395_4-N1-5,9.3,,
HCC1395_4-N2-0,9.4,,
HCC1395_4-N2-10,9.4,,
HCC1395_4-N2-15,9.3,,
HCC1395_4-N2-20,9.3,,
HCC1395_4-N2-5,9.3,,
HCC1395_4-N3-0,9.4,,
HCC1395_4-N3-10,9.3,,
HCC1395_4-N3-15,9.2,,
HCC1395_4-N3-20,9.3,,
HCC1395_4-N3-5,9.3,0.06,0.059361684
HCC1395_-80-N1-0,9.4,,
HCC1395_-80-N1-10,8.8,,
HCC1395_-80-N1-15,8.9,,
HCC1395_-80-N1-20,8.8,,
HCC1395_-80-N1-5,9.2,,
HCC1395_-80-N2-0,9.4,,
HCC1395_-80-N2-10,9,,
HCC1395_-80-N2-15,9,,
HCC1395_-80-N2-20,8.8,,
HCC1395_-80-N2-5,9.4,,
HCC1395_-80-N3-0,9.4,,
HCC1395_-80-N3-10,9.1,,
HCC1395_-80-N3-15,8.7,,
HCC1395_-80-N3-20,9,,
HCC1395_-80-N3-5,9.3,0.25,0.254109088
HCC1395BL_-20-N1-0,9.5,,
HCC1395BL_-20-N1-10,9.1,,
HCC1395BL_-20-N1-15,9.5,,
HCC1395BL_-20-N1-20,9.1,,
HCC1395BL_-20-N1-5,9.4,,
HCC1395BL_-20-N2-0,9.4,,
HCC1395BL_-20-N2-10,9.1,,
HCC1395BL_-20-N2-15,9.6,,
HCC1395BL_-20-N2-20,9.1,,
HCC1395BL_-20-N2-5,9.4,,
HCC1395BL_-20-N3-0,9.5,,
HCC1395BL_-20-N3-10,9,,
HCC1395BL_-20-N3-15,9.6,,
HCC1395BL_-20-N3-20,9.1,,
HCC1395BL_-20-N3-5,9.3,0.21,0.209988662
HCC1395BL_4-N1-0,9.5,,
HCC1395BL_4-N1-10,9.4,,
HCC1395BL_4-N1-15,9.2,,
HCC1395BL_4-N1-20,9.4,,
HCC1395BL_4-N1-5,9.5,,
HCC1395BL_4-N2-0,9.5,,
HCC1395BL_4-N2-10,9.4,,
HCC1395BL_4-N2-15,9.7,,
HCC1395BL_4-N2-20,9.3,,
HCC1395BL_4-N2-5,9.6,,
HCC1395BL_4-N3-0,9.5,,
HCC1395BL_4-N3-10,9.3,,
HCC1395BL_4-N3-15,9.7,,
HCC1395BL_4-N3-20,9.5,,
HCC1395BL_4-N3-5,9.5,0.14,0.139727626
HCC1395BL_-80-N1-0,9.5,,
HCC1395BL_-80-N1-10,9.2,,
HCC1395BL_-80-N1-15,9.5,,
HCC1395BL_-80-N1-20,9.1,,
HCC1395BL_-80-N1-5,9.3,,
HCC1395BL_-80-N2-0,9.6,,
HCC1395BL_-80-N2-10,9,,
HCC1395BL_-80-N2-15,9.4,,
HCC1395BL_-80-N2-20,9.2,,
HCC1395BL_-80-N2-5,9.4,,
HCC1395BL_-80-N3-0,9.5,,
HCC1395BL_-80-N3-10,9.1,,
HCC1395BL_-80-N3-15,9.5,,
HCC1395BL_-80-N3-20,9.1,,
HCC1395BL_-80-N3-5,9.3,0.19,0.187971629
